player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Gary Harris,harriga01,2022,3628,1730,-1.113414681793747,-.5680517511245819,-1.681466432918329,-1.204668875222456,.5757951529973266,-.6288737222251295,-1.118785292312011,-.3483411571381143,-1.467126449450125,1.133051879679543,1.133051879679543,0,-2.337613031726891,-.2205102542556743,-2.558123285982565,.0643537721542101
Joe Harris,harrijo01,2022,902,423,-2.443504576572411,-2.580808736219619,-5.02431331279203,-3.792166145998019,1.834511569908973,-1.957654576089046,-2.899924750895373,-1.804470943278506,-4.704395694173881,-.4213268083054115,-.4213268083054115,0,-2.073931288846686,-1.820307322406097,-3.894238611252784,-.1091379656874784
Shaquille Harrison,harrish01,2022,49,23,-4.444613466295522,4.811796605922884,.3671831396273619,-8.843352040838067,.7665418393784988,-8.076810201459567,-5.637774057048759,4.299464266261893,-1.338309790786866,.0168887695129231,.0168887695129231,0,-6.574969350813284,3.399560044848296,-3.175409305964987,1.950780358429545
Tobias Harris,harrito02,2022,6018,3009,.4591940053876513,-.8022089338689604,-.3430149284813092,1.701636103649678,-1.960669501878574,-.2590333982288966,.7185663855659797,-1.105967994214522,-.3874016086485423,3.621488377713569,2.648746646201109,.9727417315124602,.5547784761408031,-.8904101339426174,-.3356316578018142,-1.410495897980349
Isaiah Hartenstein,harteis01,2022,2552,1216,.6235615183914596,1.230410936819494,1.853972455210954,3.107245347603008,2.178414741273521,5.285660088876529,1.197369423658914,1.514727699735899,2.712097123394813,3.413194500630765,3.413194500630765,0,.2652597031994051,2.509403637275827,2.774663340475233,.7227742581733297
Josh Hart,hartjo01,2022,3707,1791,1.210243405015549,.0620811871320618,1.272324592147611,-.9178447857991002,-.816840282938207,-1.734685068737307,.8600845384698089,-.0923544011642617,.7677301373055474,3.218484086452456,3.218484086452456,0,.8960081709739248,.4470398714708886,1.343048042444813,.6851524714191042
Udonis Haslem,hasleud01,2022,178,83,-7.287887490981554,-10.40224427119011,-17.69013176217166,-10.56265285444118,1.314011017412088,-9.248641837029087,-8.44542190115695,-8.648500110510911,-17.09392201166786,-.609528065061606,-.609528065061606,0,-8.423390406135528,-7.174520424879453,-15.59791083101498,.3476689253154453
Sam Hauser,hausesa01,2022,364,173,3.771744734616357,.0727325788403658,3.844477313456723,-1.564951035843471,2.503089304612848,.9381382687693761,2.833048581607831,.5117195114240101,3.344768093031841,.5334784542677168,.4901057216771841,.0433727325905327,2.098188880972057,-2.202878712898385,-.1046898319263272,-1.040849584914112
Jaxson Hayes,hayesja02,2022,3076,1481,-1.036322794042556,-1.434842068573901,-2.471164862616457,-1.465571701751968,-.2896020847112504,-1.755173786463219,-1.194148275663042,-1.272255134840403,-2.466403410503445,.1908155347680337,.4624398666762705,-.2716243319082368,-1.748072613843471,-1.766861082713784,-3.514933696557255,.041926872010176
Killian Hayes,hayeski01,2022,3442,1647,-3.48060989749493,-.2998363914667408,-3.780446288961671,-3.685427094977656,-.7420401026040168,-4.427467197581673,-3.684559365164491,-.3734565191139052,-4.058015884278396,-1.101221599901634,-1.101221599901634,0,-3.957444783869844,.5154497035905297,-3.441995080279315,.1907605965283029
